iter	Passed	Remaining
390	380	591
391	380	590
392	381	589
393	382	588
394	384	588
395	385	587
396	386	587
397	387	586
398	388	585
399	389	584
400	390	583
401	391	582
402	392	582
403	393	581
404	394	580
405	395	579
406	396	578
407	397	576
408	399	577
409	400	576
410	401	575
411	402	574
412	403	573
413	404	572
414	405	571
415	406	570
416	407	569
417	408	568
418	409	567
419	410	566
420	411	565
421	412	564
422	413	563
423	414	562
424	415	561
425	416	560
426	417	559
427	418	559
428	419	558
429	420	557
430	421	555
431	422	554
432	423	554
433	424	553
434	425	552
435	426	551
436	427	550
437	428	549
438	429	548
439	429	547
440	430	546
441	431	545
442	432	544
443	433	543
444	434	542
445	435	541
446	436	540
447	437	539
448	438	538
449	440	537
450	441	536
451	442	536
452	443	535
453	444	534
454	445	533
455	446	532
456	447	531
457	448	530
458	449	529
459	450	528
460	450	527
461	451	526
462	452	525
463	453	524
464	454	523
465	455	522
466	457	521
467	458	520
468	459	519
469	459	518
470	460	517
471	462	516
472	462	515
473	463	514
474	464	513
475	465	512
476	466	511
477	467	510
478	468	509
479	469	508
480	470	508
481	471	507
482	472	506
483	473	504
484	474	504
485	475	503
486	476	502
487	477	501
488	478	499
489	479	498
490	480	497
491	481	496
492	482	495
493	483	494
494	484	493
495	485	492
496	486	491
497	487	491
498	488	490
499	489	489
500	490	488
501	490	487
502	491	486
503	492	485
504	493	483
505	494	483
506	495	482
507	496	481
508	497	480
509	498	479
510	499	478
511	500	477
512	501	476
513	502	475
514	503	474
515	504	473
516	506	472
517	507	471
518	507	470
519	508	469
520	509	468
521	510	467
522	511	466
523	512	465
524	513	464
525	514	463
526	515	462
527	516	461
528	517	460
529	517	459
530	519	458
531	520	457
532	521	456
533	521	455
534	522	454
535	523	453
536	524	452
537	525	451
538	526	450
539	527	449
540	528	448
541	529	447
542	530	446
543	531	445
544	532	444
545	533	443
546	534	442
547	535	441
548	536	440
549	537	439
550	538	438
551	539	437
552	540	436
553	541	435
554	542	434
555	543	433
556	544	433
557	545	432
558	546	431
559	547	430
560	548	429
561	550	428
562	551	427
563	551	426
564	552	425
565	553	424
566	554	423
567	555	422
568	556	421
569	557	420
570	558	419
571	559	418
572	560	418
573	561	417
574	563	416
575	564	415
576	565	414
577	566	413
578	566	412
579	567	411
580	568	410
581	569	409
582	570	408
583	571	407
584	572	406
585	573	405
586	574	404
587	575	403
588	576	402
589	577	401
590	578	400
591	579	399
592	580	398
593	581	397
594	582	396
595	582	395
596	583	394
597	584	393
598	585	392
599	586	391
600	587	390
601	588	389
602	589	388
603	590	387
604	591	386
605	592	385
606	593	384
607	594	383
608	595	382
609	595	381
610	596	379
611	597	378
612	598	377
613	599	376
614	600	375
615	601	374
616	601	373
617	602	372
618	603	371
619	604	370
620	605	369
621	607	368
622	607	367
623	608	366
624	609	365
625	610	364
626	611	363
627	612	362
628	613	361
629	613	360
630	614	359
631	615	358
632	616	357
633	617	356
634	618	355
635	619	354
636	620	353
637	621	352
638	622	351
639	623	350
640	624	349
641	625	348
642	626	347
643	627	346
644	628	345
645	628	344
646	629	343
647	630	342
648	631	341
649	632	340
650	633	339
651	634	338
652	635	337
653	636	336
654	637	335
655	639	335
656	639	334
657	640	333
658	641	332
659	642	331
660	643	330
661	645	329
662	646	328
663	647	327
664	649	326
665	650	326
666	651	325
667	652	324
668	653	323
669	654	322
670	655	321
671	657	320
672	658	319
673	659	319
674	660	318
675	661	317
676	663	316
677	664	315
678	665	314
679	666	313
680	667	312
681	668	311
682	670	311
683	671	310
684	672	309
685	674	308
686	675	307
687	676	306
688	678	306
689	679	305
690	681	304
691	682	303
692	683	302
693	685	302
694	686	301
695	687	300
696	688	299
697	690	298
698	692	298
699	693	297
700	695	296
701	697	296
702	698	295
703	700	294
704	702	293
705	703	293
706	705	292
707	706	291
708	708	290
709	710	290
710	711	289
711	713	288
712	714	287
713	716	287
714	718	286
715	720	285
716	721	284
717	723	284
718	725	283
719	727	282
720	729	282
721	730	281
722	732	280
723	734	280
724	735	279
725	737	278
726	739	277
727	741	277
728	743	276
729	745	275
730	746	274
731	747	273
732	749	273
733	751	272
734	753	271
735	756	271
736	758	270
737	760	269
738	762	269
739	764	268
740	766	267
741	769	267
742	770	266
743	773	265
744	774	265
745	777	264
746	779	263
747	781	263
748	783	262
749	785	261
750	787	261
751	790	260
752	792	259
753	794	259
754	796	258
755	798	257
756	800	257
757	802	256
758	805	255
759	808	255
760	810	254
761	812	253
762	814	253
763	816	252
764	819	251
765	821	250
766	823	250
767	825	249
768	826	248
769	828	247
770	830	246
771	832	245
772	835	245
773	837	244
774	839	243
775	841	242
776	843	241
777	845	241
778	847	240
779	849	239
780	852	239
781	854	238
782	857	237
783	859	236
784	861	236
785	864	235
786	866	234
787	868	233
788	871	233
789	873	232
790	876	231
791	879	230
792	882	230
793	884	229
794	886	228
795	889	227
796	891	227
797	893	226
798	896	225
799	898	224
800	900	223
801	903	222
802	905	222
803	909	221
804	911	220
805	914	220
806	916	219
807	919	218
808	922	217
809	925	217
810	928	216
811	930	215
812	933	214
813	936	213
814	938	213
815	942	212
816	944	211
817	947	210
818	949	209
819	952	209
820	956	208
821	958	207
822	961	206
823	964	205
824	967	205
825	970	204
826	973	203
827	976	202
828	978	201
829	981	201
830	984	200
831	987	199
832	989	198
833	991	197
834	994	196
835	996	195
836	998	194
837	999	193
838	1001	192
839	1003	191
840	1005	190
841	1007	189
842	1008	187
843	1010	186
844	1012	185
845	1014	184
846	1015	183
847	1016	182
848	1018	181
849	1019	179
850	1020	178
851	1022	177
852	1023	176
853	1025	175
854	1027	174
855	1029	173
856	1030	172
857	1032	170
858	1033	169
859	1035	168
860	1036	167
861	1037	166
862	1038	164
863	1039	163
864	1041	162
865	1042	161
866	1044	160
867	1045	158
868	1046	157
869	1048	156
870	1049	155
871	1050	154
872	1051	153
873	1053	151
874	1054	150
875	1056	149
876	1057	148
877	1059	147
878	1060	146
879	1062	144
880	1063	143
881	1064	142
882	1065	141
883	1067	140
884	1068	138
885	1069	137
886	1070	136
887	1071	135
888	1073	134
889	1074	132
890	1076	131
891	1077	130
892	1079	129
893	1080	128
894	1081	126
895	1083	125
896	1084	124
897	1086	123
898	1087	122
899	1089	121
900	1090	119
901	1092	118
902	1093	117
903	1094	116
904	1096	115
905	1097	113
906	1098	112
907	1100	111
908	1101	110
909	1103	109
910	1104	107
911	1105	106
912	1106	105
913	1107	104
914	1107	102
915	1108	101
916	1109	100
917	1110	99
918	1111	97
919	1112	96
920	1113	95
921	1114	94
922	1115	93
923	1116	91
924	1117	90
925	1118	89
926	1119	88
927	1120	86
928	1121	85
929	1122	84
930	1123	83
931	1124	82
932	1124	80
933	1125	79
934	1126	78
935	1127	77
936	1128	75
937	1129	74
938	1130	73
939	1131	72
940	1132	70
941	1133	69
942	1134	68
943	1135	67
944	1136	66
945	1137	64
946	1138	63
947	1139	62
948	1140	61
949	1140	60
950	1141	58
951	1143	57
952	1143	56
953	1144	55
954	1145	53
955	1146	52
956	1147	51
957	1148	50
958	1149	49
959	1150	47
960	1151	46
961	1152	45
962	1153	44
963	1154	43
964	1155	41
965	1156	40
966	1157	39
967	1158	38
968	1159	37
969	1159	35
970	1160	34
971	1161	33
972	1162	32
973	1163	31
974	1164	29
975	1165	28
976	1166	27
977	1167	26
978	1168	25
979	1169	23
980	1170	22
981	1171	21
982	1171	20
983	1173	19
984	1174	17
985	1175	16
986	1176	15
987	1177	14
988	1179	13
989	1180	11
990	1181	10
991	1182	9
992	1183	8
993	1183	7
994	1184	5
995	1185	4
996	1186	3
997	1187	2
998	1188	1
999	1189	0
